Date,drawdown
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-16,-0.008880746957581342
2018-01-17,0.0
2018-01-18,-0.000619920198179913
2018-01-19,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,-0.007604715646563953
2018-01-25,-0.010016202220052839
2018-01-26,0.0
2018-01-29,-0.003673543931003609
2018-01-30,-0.01506590329903612
2018-01-31,-0.005206883492307246
2018-02-01,-0.01236214543974079
2018-02-02,-0.042604752070502294
2018-02-05,-0.0901815630153231
2018-02-06,-0.055677520626732924
2018-02-07,-0.06321282501707737
2018-02-08,-0.10288299827670122
2018-02-09,-0.07406975880476485
2018-02-12,-0.06314903471974542
2018-02-13,-0.05372266348590571
2018-02-14,-0.03377967583592423
2018-02-15,-0.012837316400680088
2018-02-16,-0.018007044908442627
2018-02-20,-0.013242538881445443
2018-02-21,-0.02650292575013613
2018-02-22,-0.022729093869723216
2018-02-23,-0.0047402202092704515
2018-02-26,0.0
2018-02-27,-0.007697566272073519
2018-02-28,-0.01586158549022032
2018-03-01,-0.03639906659723502
2018-03-02,-0.02853144977490507
2018-03-05,-0.024281644564987936
2018-03-06,-0.0180587354705658
2018-03-07,-0.019346503654160463
2018-03-08,-0.014687833601815026
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,-0.0122730776704163
2018-03-14,-0.016095938630763418
2018-03-15,-0.014618874965589002
2018-03-16,-0.013002277370548265
2018-03-19,-0.03418411552360323
2018-03-20,-0.024786835710491784
2018-03-21,-0.03354794912886716
2018-03-22,-0.05684691502972139
2018-03-23,-0.08322695106787315
2018-03-26,-0.03863249092971355
2018-03-27,-0.07970850620043479
2018-03-28,-0.08744544461317316
2018-03-29,-0.06770875106649032
2018-04-02,-0.09231479378568874
2018-04-03,-0.07970654796399401
2018-04-04,-0.0653700611714344
2018-04-05,-0.06686611656033015
2018-04-06,-0.09129916838065022
2018-04-09,-0.08535804752248488
2018-04-10,-0.05933510329308089
2018-04-11,-0.0659996314073954
2018-04-12,-0.04899148058203895
2018-04-13,-0.05332203931003532
2018-04-16,-0.047167024743321684
2018-04-17,-0.030471974519188483
2018-04-18,-0.031102157109956563
2018-04-19,-0.04787429260673115
2018-04-20,-0.06296768727206992
2018-04-23,-0.06782077920284602
2018-04-24,-0.0825690620041345
2018-04-25,-0.08776580987303684
2018-04-26,-0.07106173311584241
2018-04-27,-0.06859284767178941
2018-04-30,-0.0733439235517458
2018-05-01,-0.06167771484314133
2018-05-02,-0.05768573001871424
2018-05-03,-0.04951940847412151
2018-05-04,-0.02846944891982839
2018-05-07,-0.01362545366445811
2018-05-08,-0.011796187813721604
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,-0.006168403323648763
2018-05-14,-0.00498388116539783
2018-05-15,-0.02051671280526446
2018-05-16,-0.016135109617914756
2018-05-17,-0.01867776092203266
2018-05-18,-0.0214862114313511
2018-05-21,-0.01649559377059484
2018-05-22,-0.019604043605577326
2018-05-23,-0.009474250147571528
2018-05-24,-0.010988423622359744
2018-05-25,-0.00930577968876678
2018-05-29,-0.014634808499892515
2018-05-30,-0.005220819874599325
2018-05-31,-0.008650232001259583
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,-0.00678694387450407
2018-06-08,-0.007070223524660246
2018-06-11,-0.010346409711987525
2018-06-12,-0.00618264264574564
2018-06-13,-0.010327793652915473
2018-06-14,-0.003964995283558759
2018-06-15,-0.011585903051070767
2018-06-18,-0.010588989344458621
2018-06-19,-0.02020263819946333
2018-06-20,-0.014271607915858575
2018-06-21,-0.023906092705448856
2018-06-22,-0.03185835627698097
2018-06-25,-0.055408361881567614
2018-06-26,-0.04750697768062362
2018-06-27,-0.0598178769735197
2018-06-28,-0.049091545393613045
2018-06-29,-0.05323895367989884
2018-07-02,-0.041488689131952916
2018-07-03,-0.054260063876675146
2018-07-05,-0.04294725586254733
2018-07-06,-0.029812061440822712
2018-07-09,-0.02076883030199872
2018-07-10,-0.015639383683422103
2018-07-11,-0.026619880053467493
2018-07-12,-0.011549852496730573
2018-07-13,-0.009929744983493527
2018-07-16,-0.01303346580642939
2018-07-17,-0.0035081340562805874
2018-07-18,-0.0082758237916003
2018-07-19,-0.008672064304686589
2018-07-20,-0.006248210931975584
2018-07-23,-0.0030932563251847567
2018-07-24,-0.0014579433242156714
2018-07-25,0.0
2018-07-26,-0.0011883066230926609
2018-07-27,-0.014311223726766076
2018-07-30,-0.030168151789844555
2018-07-31,-0.026139155764537625
2018-08-01,-0.010556128866471393
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,-0.005591552966684454
2018-08-13,-0.0054380317151693225
2018-08-14,0.0
2018-08-15,-0.0069611678351273465
2018-08-16,-0.00297255841043198
2018-08-17,-0.009835543772932498
2018-08-20,-0.010334436339826225
2018-08-21,-0.006895662638828126
2018-08-22,0.0
2018-08-23,0.0
2018-08-24,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-04,0.0
2018-09-05,-0.014319012762384342
2018-09-06,-0.023721171319427525
2018-09-07,-0.02813654107347585
2018-09-10,-0.025832904616108543
2018-09-11,-0.016560682598992793
2018-09-12,-0.022718012389467912
2018-09-13,-0.009991410350155716
2018-09-14,-0.007168244966516912
