Date,portfolio_return
2018-01-03,0.01862829052028006
2018-01-04,0.00571516443507783
2018-01-05,0.009680703039731444
2018-01-08,0.007326674867504832
2018-01-09,0.00029894992478820404
2018-01-10,0.00037613669471957094
2018-01-11,0.004419100222072722
2018-01-12,0.007240018842711446
2018-01-16,-0.008880746957581393
2018-01-17,0.01666332111549812
2018-01-18,-0.0006199201981797798
2018-01-19,0.005976195061016394
2018-01-22,0.00826310174033985
2018-01-23,0.006899497041642683
2018-01-24,-0.007604715646563987
2018-01-25,-0.0024299657722175057
2018-01-26,0.015378615225291086
2018-01-29,-0.003673543931003586
2018-01-30,-0.011434364006533668
2018-01-31,0.010009826890704263
2018-02-01,-0.007192713568980791
2018-02-02,-0.030621149737346608
2018-02-05,-0.049694012005712745
2018-02-06,0.03792409670543016
2018-02-07,-0.007979588069687394
2018-02-08,-0.04234704991595016
2018-02-09,0.03211759382175157
2018-02-12,0.011794327044467564
2018-02-13,0.010061761777680358
2018-02-14,0.02107520372774388
2018-02-15,0.021674517614150263
2018-02-16,-0.00523695698151092
2018-02-20,0.004851873938905237
2018-02-21,-0.013438344670491927
2018-02-22,0.0038765723906473287
2018-02-23,0.018407253861351038
2018-02-26,0.012029830893230554
2018-02-27,-0.007697566272073647
2018-02-28,-0.008227349788386434
2018-03-01,-0.02086848842014258
2018-03-02,0.008164808220501751
2018-03-05,0.004374619444893567
2018-03-06,0.006377771884436335
2018-03-07,-0.0013114513363603267
2018-03-08,0.004750577109758647
2018-03-09,0.018361850389995774
2018-03-12,0.007160149723443995
2018-03-13,-0.012273077670416431
2018-03-14,-0.003870362216442062
2018-03-15,0.001501227328118645
2018-03-16,0.0016405810441968297
2018-03-19,-0.02146087844724151
2018-03-20,0.009729887408308612
2018-03-21,-0.008983793225102982
2018-03-22,-0.02410773082829419
2018-03-23,-0.027970046918717437
2018-03-26,0.04864285680093228
2018-03-27,-0.042726652277280376
2018-03-28,-0.00840705196654069
2018-03-29,0.021627960136932904
2018-04-02,-0.026393085580655586
2018-04-03,0.013890548986999554
2018-04-04,0.015578168855643136
2018-04-05,-0.0016006927734101219
2018-04-06,-0.02618386520298272
2018-04-09,0.006538038319584234
2018-04-10,0.02845150953213419
2018-04-11,-0.007084912105943057
2018-04-12,0.018210004403944026
2018-04-13,-0.00455364872088309
2018-04-16,0.006501698383500781
2018-04-17,0.017521486616933896
2018-04-18,-0.000649989040240067
2018-04-19,-0.017310530330779013
2018-04-20,-0.015852312933195993
2018-04-23,-0.005179215129356305
2018-04-24,-0.015821295382100885
2018-04-25,-0.005664456749468947
2018-04-26,0.018311171558774247
2018-04-27,0.002657749747283014
2018-04-30,-0.005100965639012223
2018-05-01,0.012589577735592458
2018-05-02,0.0042543856067104695
2018-05-03,0.008666239920950045
2018-05-04,0.02214664848705651
2018-05-07,0.015278979378328884
2018-05-08,0.0018545347277382298
2018-05-09,0.0124045738408717
2018-05-10,0.012582609206576383
2018-05-11,-0.006168403323648817
2018-05-14,0.0011918741185251457
2018-05-15,-0.015610633180555129
2018-05-16,0.0044733822870002115
2018-05-17,-0.0025843500758833157
2018-05-18,-0.0028619044769201893
2018-05-21,0.005100201672228088
2018-05-22,-0.0031605855706328366
2018-05-23,0.010332349283915862
2018-05-24,-0.0015286563474134335
2018-05-25,0.001701338966886381
2018-05-29,-0.005379085394736184
2018-05-30,0.009553806757636278
2018-05-31,-0.0034474104355782806
2018-06-01,0.017120583134361395
2018-06-04,0.012358693283217747
2018-06-05,0.0035860311453898086
2018-06-06,0.003754723598727915
2018-06-07,-0.006786943874504046
2018-06-08,-0.00028521539100707363
2018-06-11,-0.0032995144923107546
2018-06-12,0.004207297489852098
2018-06-13,-0.004170938428973517
2018-06-14,0.006429197797563695
2018-06-15,-0.007651244917523354
2018-06-18,0.0010085992396198181
2018-06-19,-0.009716537163493879
2018-06-20,0.0060533233858738565
2018-06-21,-0.0097739751304312
